transaction_id,trade_date_key,portfolio_id,asset_id,transaction_type,quantity,price,gross_amount,fee_amount,net_amount,cash_impact,notes
TXN00000052,20230301,PRT00001,AST0030,BUY,0.14371483,199.8698,28.72,0.25,28.97,-28.97,Invest deposit (target weights)
TXN00000053,20230301,PRT00001,AST0037,BUY,0.44448519,64.6237,28.72,0.25,28.97,-28.97,Invest deposit (target weights)
TXN00000054,20230301,PRT00001,AST0060,BUY,1.20272231,23.8827,28.72,0.25,28.97,-28.97,Invest deposit (target weights)
TXN00000055,20230301,PRT00001,AST0051,BUY,0.653306,43.9675,28.72,0.25,28.97,-28.97,Invest deposit (target weights)
TXN00000056,20230301,PRT00001,AST0025,BUY,1.26033154,22.791,28.72,0.25,28.97,-28.97,Invest deposit (target weights)
TXN00000057,20230301,PRT00001,AST0049,BUY,1.08622594,26.4441,28.72,0.25,28.97,-28.97,Invest deposit (target weights)
TXN00000058,20230301,PRT00001,AST0019,BUY,0.15771615,182.1263,28.72,0.25,28.97,-28.97,Invest deposit (target weights)
TXN00000059,20230301,PRT00001,AST0006,BUY,0.26386671,108.859,28.72,0.25,28.97,-28.97,Invest deposit (target weights)
TXN00000060,20230301,PRT00001,AST0059,BUY,0.15131726,189.828,28.72,0.25,28.97,-28.97,Invest deposit (target weights)
TXN00000061,20230301,PRT00001,AST0042,BUY,0.10382203,276.6682,28.72,0.25,28.97,-28.97,Invest deposit (target weights)
TXN00000062,20230301,PRT00001,AST0050,BUY,0.33095181,86.7929,28.72,0.25,28.97,-28.97,Invest deposit (target weights)
TXN00000063,20230301,PRT00001,AST0009,BUY,0.31544613,91.0592,28.72,0.25,28.97,-28.97,Invest deposit (target weights)
TXN00000064,20230301,PRT00001,AST0057,BUY,0.25945152,110.7115,28.72,0.25,28.97,-28.97,Invest deposit (target weights)
TXN00000065,20230301,PRT00001,AST0043,BUY,0.28081078,102.2904,28.72,0.25,28.97,-28.97,Invest deposit (target weights)
TXN00000066,20230301,PRT00001,AST0033,BUY,0.49306626,58.2564,28.72,0.25,28.97,-28.97,Invest deposit (target weights)
TXN00000067,20230301,PRT00001,AST0020,BUY,0.20195877,85.337,17.23,0.25,17.48,-17.48,Invest deposit (target weights)
TXN00000068,20230403,PRT00001,CASH0001,DEPOSIT,948.61,1.0,948.61,0.0,948.61,948.61,Recurring deposit
TXN00000069,20230403,PRT00001,CASH0001,FEE,7.78,1.0,7.78,0.0,7.78,-7.78,Monthly fee
TXN00000070,20230403,PRT00001,CASH0001,DIVIDEND,21.44,1.0,21.44,0.0,21.44,21.44,Dividend credit (synthetic)
TXN00000071,20230403,PRT00001,AST0008,BUY,0.51338883,92.3875,47.43,0.25,47.68,-47.68,Invest deposit (target weights)
TXN00000072,20230403,PRT00001,AST0015,BUY,0.34461219,137.635,47.43,0.25,47.68,-47.68,Invest deposit (target weights)
TXN00000073,20230403,PRT00001,AST0045,BUY,0.71057159,66.7501,47.43,0.25,47.68,-47.68,Invest deposit (target weights)
TXN00000074,20230403,PRT00001,AST0054,BUY,1.48730421,31.8904,47.43,0.25,47.68,-47.68,Invest deposit (target weights)
TXN00000075,20230403,PRT00001,AST0030,BUY,0.24543458,193.2519,47.43,0.25,47.68,-47.68,Invest deposit (target weights)
TXN00000076,20230403,PRT00001,AST0037,BUY,0.72420162,65.4938,47.43,0.25,47.68,-47.68,Invest deposit (target weights)
TXN00000077,20230403,PRT00001,AST0060,BUY,2.10394395,22.5437,47.43,0.25,47.68,-47.68,Invest deposit (target weights)
TXN00000078,20230403,PRT00001,AST0051,BUY,0.9454778,50.1659,47.43,0.25,47.68,-47.68,Invest deposit (target weights)
TXN00000079,20230403,PRT00001,AST0025,BUY,2.15349511,22.025,47.43,0.25,47.68,-47.68,Invest deposit (target weights)
TXN00000080,20230403,PRT00001,AST0049,BUY,1.89897915,24.977,47.43,0.25,47.68,-47.68,Invest deposit (target weights)
TXN00000081,20230403,PRT00001,AST0019,BUY,0.23840477,198.9503,47.43,0.25,47.68,-47.68,Invest deposit (target weights)
TXN00000082,20230403,PRT00001,AST0006,BUY,0.48903861,96.9877,47.43,0.25,47.68,-47.68,Invest deposit (target weights)
TXN00000083,20230403,PRT00001,AST0059,BUY,0.24889781,190.563,47.43,0.25,47.68,-47.68,Invest deposit (target weights)
TXN00000084,20230403,PRT00001,AST0042,BUY,0.15855349,299.1464,47.43,0.25,47.68,-47.68,Invest deposit (target weights)
TXN00000085,20230403,PRT00001,AST0050,BUY,0.54583965,86.895,47.43,0.25,47.68,-47.68,Invest deposit (target weights)
TXN00000086,20230403,PRT00001,AST0009,BUY,0.52123674,90.9965,47.43,0.25,47.68,-47.68,Invest deposit (target weights)
TXN00000087,20230403,PRT00001,AST0057,BUY,0.43203719,109.7839,47.43,0.25,47.68,-47.68,Invest deposit (target weights)
TXN00000088,20230403,PRT00001,AST0043,BUY,0.46214072,102.6326,47.43,0.25,47.68,-47.68,Invest deposit (target weights)
TXN00000089,20230403,PRT00001,AST0033,BUY,0.90025179,52.686,47.43,0.25,47.68,-47.68,Invest deposit (target weights)
TXN00000090,20230403,PRT00001,AST0020,BUY,0.36357669,78.2735,28.46,0.25,28.71,-28.71,Invest deposit (target weights)
TXN00000091,20230501,PRT00001,CASH0001,DEPOSIT,575.2,1.0,575.2,0.0,575.2,575.2,Recurring deposit
TXN00000092,20230501,PRT00001,CASH0001,FEE,4.38,1.0,4.38,0.0,4.38,-4.38,Monthly fee
TXN00000093,20230501,PRT00001,CASH0001,DIVIDEND,17.48,1.0,17.48,0.0,17.48,17.48,Dividend credit (synthetic)
TXN00000094,20230501,PRT00001,AST0008,BUY,0.32352133,88.8968,28.76,0.25,29.01,-29.01,Invest deposit (target weights)
TXN00000095,20230501,PRT00001,AST0015,BUY,0.2241062,128.3321,28.76,0.25,29.01,-29.01,Invest deposit (target weights)
TXN00000096,20230501,PRT00001,AST0045,BUY,0.47479824,60.5731,28.76,0.25,29.01,-29.01,Invest deposit (target weights)
TXN00000097,20230501,PRT00001,AST0054,BUY,0.92958772,30.9385,28.76,0.25,29.01,-29.01,Invest deposit (target weights)
TXN00000098,20230501,PRT00001,AST0030,BUY,0.15627676,184.0326,28.76,0.25,29.01,-29.01,Invest deposit (target weights)
TXN00000099,20230501,PRT00001,AST0037,BUY,0.50419703,57.0412,28.76,0.25,29.01,-29.01,Invest deposit (target weights)
TXN00000100,20230501,PRT00001,AST0060,BUY,1.25171257,22.9765,28.76,0.25,29.01,-29.01,Invest deposit (target weights)
TXN00000101,20230501,PRT00001,AST0051,BUY,0.605561,47.4932,28.76,0.25,29.01,-29.01,Invest deposit (target weights)
TXN00000102,20230501,PRT00001,AST0025,BUY,1.39259833,20.6521,28.76,0.25,29.01,-29.01,Invest deposit (target weights)
TXN00000103,20230501,PRT00001,AST0049,BUY,1.19581702,24.0505,28.76,0.25,29.01,-29.01,Invest deposit (target weights)
TXN00000104,20230501,PRT00001,AST0019,BUY,0.14700787,195.6359,28.76,0.25,29.01,-29.01,Invest deposit (target weights)
TXN00000105,20230501,PRT00001,AST0006,BUY,0.27188708,105.7793,28.76,0.25,29.01,-29.01,Invest deposit (target weights)
TXN00000106,20230501,PRT00001,AST0059,BUY,0.14517364,198.1077,28.76,0.25,29.01,-29.01,Invest deposit (target weights)
TXN00000107,20230501,PRT00001,AST0042,BUY,0.10499346,273.922,28.76,0.25,29.01,-29.01,Invest deposit (target weights)
TXN00000108,20230501,PRT00001,AST0050,BUY,0.33650036,85.468,28.76,0.25,29.01,-29.01,Invest deposit (target weights)
TXN00000109,20230501,PRT00001,AST0009,BUY,0.31546796,91.1662,28.76,0.25,29.01,-29.01,Invest deposit (target weights)
TXN00000110,20230501,PRT00001,AST0057,BUY,0.26333661,109.2139,28.76,0.25,29.01,-29.01,Invest deposit (target weights)
TXN00000111,20230501,PRT00001,AST0043,BUY,0.27889163,103.1226,28.76,0.25,29.01,-29.01,Invest deposit (target weights)
TXN00000112,20230501,PRT00001,AST0033,BUY,0.53304167,53.9545,28.76,0.25,29.01,-29.01,Invest deposit (target weights)
TXN00000113,20230501,PRT00001,AST0020,BUY,0.22362401,77.1653,17.26,0.25,17.51,-17.51,Invest deposit (target weights)
TXN00000114,20230601,PRT00001,CASH0001,DEPOSIT,442.73,1.0,442.73,0.0,442.73,442.73,Recurring deposit
TXN00000115,20230601,PRT00001,CASH0001,FEE,6.97,1.0,6.97,0.0,6.97,-6.97,Monthly fee
TXN00000116,20230601,PRT00001,CASH0001,DIVIDEND,16.81,1.0,16.81,0.0,16.81,16.81,Dividend credit (synthetic)
TXN00000117,20230601,PRT00001,AST0008,BUY,0.2302472,96.1432,22.14,0.25,22.39,-22.39,Invest deposit (target weights)
TXN00000118,20230601,PRT00001,AST0015,BUY,0.18540295,119.3978,22.14,0.25,22.39,-22.39,Invest deposit (target weights)
TXN00000119,20230601,PRT00001,AST0045,BUY,0.39162328,56.5255,22.14,0.25,22.39,-22.39,Invest deposit (target weights)
TXN00000120,20230601,PRT00001,AST0054,BUY,0.76971889,28.7595,22.14,0.25,22.39,-22.39,Invest deposit (target weights)
TXN00000121,20230601,PRT00001,AST0030,BUY,0.13795052,160.4684,22.14,0.25,22.39,-22.39,Invest deposit (target weights)
TXN00000122,20230601,PRT00001,AST0037,BUY,0.3735839,59.255,22.14,0.25,22.39,-22.39,Invest deposit (target weights)
TXN00000123,20230601,PRT00001,AST0060,BUY,0.91580944,24.1717,22.14,0.25,22.39,-22.39,Invest deposit (target weights)
TXN00000124,20230601,PRT00001,AST0051,BUY,0.53302842,41.5301,22.14,0.25,22.39,-22.39,Invest deposit (target weights)
TXN00000125,20230601,PRT00001,AST0025,BUY,1.18388515,18.6984,22.14,0.25,22.39,-22.39,Invest deposit (target weights)
TXN00000126,20230601,PRT00001,AST0049,BUY,0.95426134,23.1977,22.14,0.25,22.39,-22.39,Invest deposit (target weights)
TXN00000127,20230601,PRT00001,AST0019,BUY,0.1156784,191.3642,22.14,0.25,22.39,-22.39,Invest deposit (target weights)
TXN00000128,20230601,PRT00001,AST0006,BUY,0.22515384,98.3181,22.14,0.25,22.39,-22.39,Invest deposit (target weights)
TXN00000129,20230601,PRT00001,AST0059,BUY,0.12423208,178.1883,22.14,0.25,22.39,-22.39,Invest deposit (target weights)
TXN00000130,20230601,PRT00001,AST0042,BUY,0.08062657,274.5584,22.14,0.25,22.39,-22.39,Invest deposit (target weights)
TXN00000131,20230601,PRT00001,AST0050,BUY,0.25304592,87.481,22.14,0.25,22.39,-22.39,Invest deposit (target weights)
TXN00000132,20230601,PRT00001,AST0009,BUY,0.23214568,95.3569,22.14,0.25,22.39,-22.39,Invest deposit (target weights)
TXN00000133,20230601,PRT00001,AST0057,BUY,0.19619441,112.8304,22.14,0.25,22.39,-22.39,Invest deposit (target weights)
TXN00000134,20230601,PRT00001,AST0043,BUY,0.20569865,107.6171,22.14,0.25,22.39,-22.39,Invest deposit (target weights)
TXN00000135,20230601,PRT00001,AST0033,BUY,0.45037714,49.1515,22.14,0.25,22.39,-22.39,Invest deposit (target weights)
TXN00000136,20230601,PRT00001,AST0020,BUY,0.1678529,79.1289,13.28,0.25,13.53,-13.53,Invest deposit (target weights)
TXN00000137,20230703,PRT00001,CASH0001,DEPOSIT,638.75,1.0,638.75,0.0,638.75,638.75,Recurring deposit
TXN00000138,20230703,PRT00001,CASH0001,FEE,3.5,1.0,3.5,0.0,3.5,-3.5,Monthly fee
TXN00000139,20230703,PRT00001,CASH0001,DIVIDEND,18.3,1.0,18.3,0.0,18.3,18.3,Dividend credit (synthetic)
TXN00000140,20230703,PRT00001,AST0008,BUY,0.3519773,90.7374,31.94,0.25,32.19,-32.19,Invest deposit (target weights)
TXN00000141,20230703,PRT00001,AST0015,BUY,0.20543551,155.4624,31.94,0.25,32.19,-32.19,Invest deposit (target weights)
TXN00000142,20230703,PRT00001,AST0045,BUY,0.64636564,49.4109,31.94,0.25,32.19,-32.19,Invest deposit (target weights)
TXN00000143,20230703,PRT00001,AST0054,BUY,1.12211431,28.4619,31.94,0.25,32.19,-32.19,Invest deposit (target weights)
TXN00000144,20230703,PRT00001,AST0030,BUY,0.18583152,171.8627,31.94,0.25,32.19,-32.19,Invest deposit (target weights)
TXN00000145,20230703,PRT00001,AST0037,BUY,0.4097327,77.9472,31.94,0.25,32.19,-32.19,Invest deposit (target weights)
TXN00000146,20230703,PRT00001,AST0060,BUY,1.29771026,24.6107,31.94,0.25,32.19,-32.19,Invest deposit (target weights)
TXN00000147,20230703,PRT00001,AST0051,BUY,0.83144892,38.4119,31.94,0.25,32.19,-32.19,Invest deposit (target weights)
TXN00000148,20230703,PRT00001,AST0025,BUY,1.34373348,23.7677,31.94,0.25,32.19,-32.19,Invest deposit (target weights)
TXN00000149,20230703,PRT00001,AST0049,BUY,1.53926797,20.7485,31.94,0.25,32.19,-32.19,Invest deposit (target weights)
TXN00000150,20230703,PRT00001,AST0019,BUY,0.19742703,161.7686,31.94,0.25,32.19,-32.19,Invest deposit (target weights)
TXN00000151,20230703,PRT00001,AST0006,BUY,0.28214922,113.1937,31.94,0.25,32.19,-32.19,Invest deposit (target weights)
TXN00000152,20230703,PRT00001,AST0059,BUY,0.18900251,168.9793,31.94,0.25,32.19,-32.19,Invest deposit (target weights)
TXN00000153,20230703,PRT00001,AST0042,BUY,0.11466297,278.5337,31.94,0.25,32.19,-32.19,Invest deposit (target weights)
TXN00000154,20230703,PRT00001,AST0050,BUY,0.35167939,90.8143,31.94,0.25,32.19,-32.19,Invest deposit (target weights)
TXN00000155,20230703,PRT00001,AST0009,BUY,0.33104447,96.475,31.94,0.25,32.19,-32.19,Invest deposit (target weights)
TXN00000156,20230703,PRT00001,AST0057,BUY,0.2736984,116.6887,31.94,0.25,32.19,-32.19,Invest deposit (target weights)
TXN00000157,20230703,PRT00001,AST0043,BUY,0.28727345,111.1746,31.94,0.25,32.19,-32.19,Invest deposit (target weights)
TXN00000158,20230703,PRT00001,AST0033,BUY,0.66499023,48.027,31.94,0.25,32.19,-32.19,Invest deposit (target weights)
TXN00000159,20230703,PRT00001,AST0020,BUY,0.28975725,66.1329,19.16,0.25,19.41,-19.41,Invest deposit (target weights)
TXN00000160,20230801,PRT00001,CASH0001,DEPOSIT,611.58,1.0,611.58,0.0,611.58,611.58,Recurring deposit
TXN00000161,20230801,PRT00001,CASH0001,FEE,4.57,1.0,4.57,0.0,4.57,-4.57,Monthly fee
TXN00000162,20230801,PRT00001,CASH0001,DIVIDEND,19.35,1.0,19.35,0.0,19.35,19.35,Dividend credit (synthetic)
TXN00000163,20230801,PRT00001,AST0008,BUY,0.42910265,71.2626,30.58,0.25,30.83,-30.83,Invest deposit (target weights)
TXN00000164,20230801,PRT00001,AST0015,BUY,0.20049902,152.5144,30.58,0.25,30.83,-30.83,Invest deposit (target weights)
TXN00000165,20230801,PRT00001,AST0045,BUY,0.83192967,36.7567,30.58,0.25,30.83,-30.83,Invest deposit (target weights)
TXN00000166,20230801,PRT00001,AST0054,BUY,1.22760167,24.9095,30.58,0.25,30.83,-30.83,Invest deposit (target weights)
TXN00000167,20230801,PRT00001,AST0030,BUY,0.25837917,118.3493,30.58,0.25,30.83,-30.83,Invest deposit (target weights)
TXN00000168,20230801,PRT00001,AST0037,BUY,0.46609616,65.6066,30.58,0.25,30.83,-30.83,Invest deposit (target weights)
TXN00000169,20230801,PRT00001,AST0060,BUY,1.45153663,21.0666,30.58,0.25,30.83,-30.83,Invest deposit (target weights)
TXN00000170,20230801,PRT00001,AST0051,BUY,1.01246655,30.2025,30.58,0.25,30.83,-30.83,Invest deposit (target weights)
TXN00000171,20230801,PRT00001,AST0025,BUY,1.58309162,19.316,30.58,0.25,30.83,-30.83,Invest deposit (target weights)
TXN00000172,20230801,PRT00001,AST0049,BUY,1.99888652,15.298,30.58,0.25,30.83,-30.83,Invest deposit (target weights)
TXN00000173,20230801,PRT00001,AST0019,BUY,0.28529712,107.1829,30.58,0.25,30.83,-30.83,Invest deposit (target weights)
TXN00000174,20230801,PRT00001,AST0006,BUY,0.36041481,84.8439,30.58,0.25,30.83,-30.83,Invest deposit (target weights)
TXN00000175,20230801,PRT00001,AST0059,BUY,0.21745755,140.6205,30.58,0.25,30.83,-30.83,Invest deposit (target weights)
TXN00000176,20230801,PRT00001,AST0042,BUY,0.16500951,185.3165,30.58,0.25,30.83,-30.83,Invest deposit (target weights)
TXN00000177,20230801,PRT00001,AST0050,BUY,0.31042036,98.5083,30.58,0.25,30.83,-30.83,Invest deposit (target weights)
TXN00000178,20230801,PRT00001,AST0009,BUY,0.29709518,102.9265,30.58,0.25,30.83,-30.83,Invest deposit (target weights)
TXN00000179,20230801,PRT00001,AST0057,BUY,0.2464836,124.0609,30.58,0.25,30.83,-30.83,Invest deposit (target weights)
TXN00000180,20230801,PRT00001,AST0043,BUY,0.25260267,121.0557,30.58,0.25,30.83,-30.83,Invest deposit (target weights)
TXN00000181,20230801,PRT00001,AST0033,BUY,0.67297109,45.4388,30.58,0.25,30.83,-30.83,Invest deposit (target weights)
TXN00000182,20230801,PRT00001,AST0020,BUY,0.24399833,75.1947,18.35,0.25,18.6,-18.6,Invest deposit (target weights)
TXN00000183,20230901,PRT00001,CASH0001,DEPOSIT,591.1,1.0,591.1,0.0,591.1,591.1,Recurring deposit
TXN00000184,20230901,PRT00001,CASH0001,FEE,6.44,1.0,6.44,0.0,6.44,-6.44,Monthly fee
TXN00000185,20230901,PRT00001,CASH0001,DIVIDEND,21.71,1.0,21.71,0.0,21.71,21.71,Dividend credit (synthetic)
TXN00000186,20230901,PRT00001,AST0008,BUY,0.47887658,61.7169,29.55,0.25,29.8,-29.8,Invest deposit (target weights)
TXN00000187,20230901,PRT00001,AST0015,BUY,0.216419,136.5629,29.55,0.25,29.8,-29.8,Invest deposit (target weights)
TXN00000188,20230901,PRT00001,AST0045,BUY,1.19608214,24.7097,29.55,0.25,29.8,-29.8,Invest deposit (target weights)
TXN00000189,20230901,PRT00001,AST0054,BUY,1.80917131,16.3361,29.55,0.25,29.8,-29.8,Invest deposit (target weights)
TXN00000190,20230901,PRT00001,AST0030,BUY,0.2968517,99.5608,29.55,0.25,29.8,-29.8,Invest deposit (target weights)
TXN00000191,20230901,PRT00001,AST0037,BUY,0.50005836,59.1027,29.55,0.25,29.8,-29.8,Invest deposit (target weights)
TXN00000192,20230901,PRT00001,AST0060,BUY,1.60866831,18.3722,29.55,0.25,29.8,-29.8,Invest deposit (target weights)
TXN00000193,20230901,PRT00001,AST0051,BUY,1.24895997,23.6635,29.55,0.25,29.8,-29.8,Invest deposit (target weights)
TXN00000194,20230901,PRT00001,AST0025,BUY,1.67737659,17.6197,29.55,0.25,29.8,-29.8,Invest deposit (target weights)
TXN00000195,20230901,PRT00001,AST0049,BUY,2.31314452,12.7769,29.55,0.25,29.8,-29.8,Invest deposit (target weights)
TXN00000196,20230901,PRT00001,AST0019,BUY,0.29809487,99.1456,29.55,0.25,29.8,-29.8,Invest deposit (target weights)
TXN00000197,20230901,PRT00001,AST0006,BUY,0.50808357,58.1692,29.55,0.25,29.8,-29.8,Invest deposit (target weights)
TXN00000198,20230901,PRT00001,AST0059,BUY,0.26680616,110.7725,29.55,0.25,29.8,-29.8,Invest deposit (target weights)
TXN00000199,20230901,PRT00001,AST0042,BUY,0.27200716,108.6545,29.55,0.25,29.8,-29.8,Invest deposit (target weights)
TXN00000200,20230901,PRT00001,AST0050,BUY,0.27331957,108.1328,29.55,0.25,29.8,-29.8,Invest deposit (target weights)
TXN00000201,20230901,PRT00001,AST0009,BUY,0.26182271,112.881,29.55,0.25,29.8,-29.8,Invest deposit (target weights)
TXN00000202,20230901,PRT00001,AST0057,BUY,0.22173934,133.2862,29.55,0.25,29.8,-29.8,Invest deposit (target weights)
TXN00000203,20230901,PRT00001,AST0043,BUY,0.22559685,131.0071,29.55,0.25,29.8,-29.8,Invest deposit (target weights)
TXN00000204,20230901,PRT00001,AST0033,BUY,0.8163872,36.2019,29.55,0.25,29.8,-29.8,Invest deposit (target weights)
TXN00000205,20230901,PRT00001,AST0020,BUY,0.28743818,61.6928,17.73,0.25,17.98,-17.98,Invest deposit (target weights)
TXN00000206,20231002,PRT00001,CASH0001,DEPOSIT,502.93,1.0,502.93,0.0,502.93,502.93,Recurring deposit
TXN00000207,20231002,PRT00001,CASH0001,FEE,6.16,1.0,6.16,0.0,6.16,-6.16,Monthly fee
TXN00000208,20231002,PRT00001,CASH0001,DIVIDEND,18.53,1.0,18.53,0.0,18.53,18.53,Dividend credit (synthetic)
TXN00000209,20231002,PRT00001,AST0008,BUY,0.41621159,60.4179,25.15,0.25,25.4,-25.4,Invest deposit (target weights)
TXN00000210,20231002,PRT00001,AST0015,BUY,0.23184887,108.4613,25.15,0.25,25.4,-25.4,Invest deposit (target weights)
TXN00000211,20231002,PRT00001,AST0045,BUY,0.88484774,28.4192,25.15,0.25,25.4,-25.4,Invest deposit (target weights)
TXN00000212,20231002,PRT00001,AST0054,BUY,1.55867016,16.1334,25.15,0.25,25.4,-25.4,Invest deposit (target weights)
